ElectricitySources	Time	Cost 
Grid	1	5.2
Battery	1	10
Solar	1	0
Grid	2	6
Battery	2	10
Solar	2	0
Grid	3	5.5
Battery	3	10
Solar	3	0
Grid	4	5.8
Battery	4	10
Solar	4	0
Grid	5	6.2
Battery	5	10
Solar	5	0
Grid	6	7.1
Battery	6	10
Solar	6	0
Grid	7	9.3
Battery	7	10
Solar	7	0
Grid	8	12.5
Battery	8	10
Solar	8	0
Grid	9	14.1
Battery	9	10
Solar	9	0
Grid	10	13.8
Battery	10	10
Solar	10	0
Grid	11	12.9
Battery	11	10
Solar	11	0
Grid	12	11.5
Battery	12	10
Solar	12	0
Grid	13	10.4
Battery	13	10
Solar	13	0
Grid	14	9.7
Battery	14	10
Solar	14	0
Grid	15	8.5
Battery	15	10
Solar	15	0
Grid	16	9
Battery	16	10
Solar	16	0
Grid	17	10.1
Battery	17	10
Solar	17	0
Grid	18	11.8
Battery	18	10
Solar	18	0
Grid	19	12.3
Battery	19	10
Solar	19	0
Grid	20	14.0
Battery	20	10
Solar	20	0
Grid	21	13.5
Battery	21	10
Solar	21	0
Grid	22	10.8
Battery	22	10
Solar	22	0
Grid	23	7.9
Battery	23	10
Solar	23	0
Grid	24	6.7
Battery	24	10
Solar	24	0
